open_time,close_time,side,entry_price,exit_price,quantity,leverage,margin,pnl,pnl_pct,fees,reason,capital_after
2026-02-25T13:56:00.633Z,2026-02-25T13:56:27.706Z,LONG,66274.10,66198.40,0.005549,15,24.52,-0.57,-2.32,0.1470,SL,489.81
2026-02-25T14:07:01.109Z,2026-02-25T14:07:34.707Z,LONG,66391.50,66320.40,0.005533,15,24.49,-0.54,-2.21,0.1469,SL,489.27
2026-02-25T14:09:00.430Z,2026-02-25T14:26:49.205Z,LONG,66414.60,66555.20,0.005525,15,24.46,0.63,2.58,0.1469,TP,489.90
2026-02-25T14:27:00.277Z,2026-02-25T14:31:00.997Z,LONG,66532.40,66462.50,0.005523,15,24.50,-0.53,-2.18,0.1469,SL,489.37
2026-02-25T14:32:00.513Z,2026-02-25T14:32:07.069Z,LONG,66571.50,66708.10,0.005513,15,24.47,0.61,2.48,0.1470,TP,489.98
2026-02-25T14:33:01.460Z,2026-02-25T14:33:08.765Z,LONG,66432.00,66600.00,0.005532,15,24.50,0.78,3.20,0.1472,TP,490.76
2026-02-25T14:34:01.821Z,2026-02-25T14:35:29.541Z,LONG,66550.80,66458.00,0.005531,15,24.54,-0.66,-2.70,0.1471,SL,490.10
2026-02-25T14:38:01.587Z,2026-02-25T14:40:38.601Z,SHORT,66318.50,66435.00,0.003695,10,24.50,-0.53,-2.16,0.0981,SL,489.57
2026-02-25T14:42:01.043Z,2026-02-25T14:46:48.121Z,SHORT,66332.10,66470.60,0.005535,15,24.48,-0.91,-3.74,0.1470,SL,488.66
2026-02-25T14:48:00.577Z,2026-02-25T14:59:45.313Z,LONG,66710.90,66984.90,0.005494,15,24.43,1.36,5.58,0.1469,TP,490.01
2026-02-25T15:00:01.798Z,2026-02-25T15:03:14.462Z,LONG,66933.90,67181.90,0.005491,15,24.50,1.21,4.97,0.1473,TP,491.23
2026-02-25T15:04:00.958Z,2026-02-25T15:05:02.664Z,LONG,67181.10,67024.00,0.005484,15,24.56,-1.01,-4.12,0.1472,SL,490.22
2026-02-25T15:08:01.509Z,2026-02-25T15:22:46.339Z,LONG,66819.50,66679.10,0.005502,15,24.51,-0.92,-3.76,0.1469,SL,489.30
2026-02-25T15:21:00.280Z,2026-02-25T15:24:04.287Z,SHORT,66720.00,66823.50,0.005511,15,24.51,-0.72,-2.94,0.1472,SL,488.58
2026-02-25T15:27:00.560Z,2026-02-25T15:31:27.609Z,LONG,66950.00,67157.10,0.005473,15,24.43,0.99,4.05,0.1468,TP,489.57
2026-02-25T15:32:00.119Z,2026-02-25T15:35:53.524Z,LONG,67168.40,67386.70,0.005467,15,24.48,1.05,4.29,0.1471,TP,490.62
2026-02-25T15:36:01.482Z,2026-02-25T15:37:45.546Z,LONG,67373.20,67254.60,0.005462,15,24.53,-0.79,-3.25,0.1471,SL,489.82
2026-02-25T15:38:01.404Z,2026-02-25T15:46:32.802Z,LONG,67307.70,67537.60,0.005458,15,24.49,1.11,4.54,0.1472,TP,490.93
2026-02-25T15:47:00.875Z,2026-02-25T15:47:36.407Z,LONG,67528.80,67411.10,0.005452,15,24.55,-0.79,-3.22,0.1472,SL,490.14
2026-02-25T15:50:00.688Z,2026-02-25T15:51:14.205Z,LONG,67470.50,67360.00,0.005448,15,24.51,-0.75,-3.07,0.1469,SL,489.39
2026-02-25T16:07:00.702Z,2026-02-25T16:09:21.554Z,LONG,67528.40,67425.80,0.005435,15,24.47,-0.70,-2.89,0.1467,SL,488.69
2026-02-25T16:11:01.578Z,2026-02-25T16:18:10.315Z,LONG,67535.80,67743.20,0.005427,15,24.43,0.98,4.02,0.1468,TP,489.67
2026-02-25T16:19:00.735Z,2026-02-25T16:25:04.524Z,LONG,67770.40,67989.60,0.005419,15,24.48,1.04,4.26,0.1471,TP,490.71
2026-02-25T16:26:00.243Z,2026-02-25T16:26:14.388Z,LONG,67924.80,67822.60,0.005418,15,24.54,-0.70,-2.87,0.1471,SL,490.01
2026-02-25T16:28:01.650Z,2026-02-25T16:29:49.633Z,LONG,67937.20,67822.60,0.005409,15,24.50,-0.77,-3.14,0.1469,SL,489.24
2026-02-25T16:31:00.789Z,2026-02-25T16:46:48.892Z,LONG,67827.90,68044.60,0.005410,15,24.46,1.03,4.20,0.1470,TP,490.26
2026-02-25T16:47:01.571Z,2026-02-25T16:56:53.861Z,LONG,67963.50,68126.40,0.005410,15,24.51,0.73,3.00,0.1473,TP,491.00
2026-02-25T16:57:01.235Z,2026-02-25T17:01:20.869Z,LONG,68151.90,68325.30,0.005403,15,24.55,0.79,3.23,0.1475,TP,491.79
2026-02-25T17:02:00.352Z,2026-02-25T17:03:35.555Z,LONG,68401.20,68308.00,0.005392,15,24.59,-0.65,-2.65,0.1474,SL,491.14
2026-02-25T17:08:01.057Z,2026-02-25T17:09:38.506Z,LONG,68037.00,68233.60,0.005414,15,24.56,0.92,3.74,0.1476,TP,492.05
2026-02-25T17:10:00.205Z,2026-02-25T17:10:53.376Z,LONG,68233.10,68437.50,0.005409,15,24.60,0.96,3.90,0.1478,TP,493.01
2026-02-25T17:11:00.371Z,2026-02-25T17:18:50.535Z,LONG,68470.40,68337.00,0.005400,15,24.65,-0.87,-3.53,0.1478,SL,492.14
2026-02-25T17:21:00.265Z,2026-02-25T17:22:33.693Z,LONG,68289.50,68500.00,0.005405,15,24.61,0.99,4.03,0.1479,TP,493.13
2026-02-25T17:23:00.489Z,2026-02-25T17:32:14.665Z,LONG,68553.70,68443.00,0.005395,15,24.66,-0.75,-3.03,0.1478,SL,492.39
2026-02-25T17:34:01.149Z,2026-02-25T17:42:43.440Z,LONG,68450.00,68693.70,0.005395,15,24.62,1.17,4.75,0.1480,TP,493.56
2026-02-25T17:43:01.479Z,2026-02-25T17:55:40.520Z,LONG,68665.40,68569.60,0.005391,15,24.68,-0.66,-2.70,0.1480,SL,492.89
2026-02-25T17:57:00.250Z,2026-02-25T18:02:17.028Z,LONG,68598.90,68517.70,0.005389,15,24.64,-0.59,-2.38,0.1478,SL,492.31
2026-02-25T18:03:00.949Z,2026-02-25T18:06:54.878Z,SHORT,68410.00,68493.20,0.005397,15,24.62,-0.60,-2.43,0.1478,SL,491.71
2026-02-25T18:11:00.478Z,2026-02-25T18:19:15.159Z,LONG,68773.40,68689.00,0.005362,15,24.59,-0.60,-2.45,0.1474,SL,491.11
2026-02-25T18:20:00.693Z,2026-02-25T18:23:15.615Z,LONG,68762.90,68944.00,0.005357,15,24.56,0.82,3.36,0.1475,TP,491.93
2026-02-25T18:24:00.360Z,2026-02-25T18:24:51.676Z,LONG,69001.30,68907.00,0.005347,15,24.60,-0.65,-2.66,0.1475,SL,491.28
2026-02-25T18:27:00.417Z,2026-02-25T18:28:59.687Z,LONG,69028.50,69259.30,0.005338,15,24.56,1.08,4.43,0.1476,TP,492.36
2026-02-25T18:29:00.142Z,2026-02-25T18:30:28.410Z,LONG,69343.00,69229.00,0.005325,15,24.62,-0.75,-3.07,0.1476,SL,491.61
2026-02-25T18:32:00.894Z,2026-02-25T18:32:37.550Z,LONG,69348.40,69236.30,0.005317,15,24.58,-0.74,-3.03,0.1474,SL,490.87
2026-02-25T18:34:00.064Z,2026-02-25T18:42:03.737Z,LONG,69267.10,69499.00,0.005315,15,24.54,1.09,4.43,0.1475,TP,491.95
2026-02-25T18:43:00.397Z,2026-02-25T18:45:45.532Z,LONG,69443.80,69334.70,0.005313,15,24.60,-0.73,-2.97,0.1475,SL,491.22
